('<BOS>',)的频次-----86924
('须',)的频次-----90
('用心',)的频次-----25
('保养',)的频次-----10
('不然',)的频次-----23
('则',)的频次-----898
('容易',)的频次-----188
('矣',)的频次-----14
('养',)的频次-----248
('钱',)的频次-----500
('不用',)的频次-----64
('住户',)的频次-----32
('分摊',)的频次-----10
('合理',)的频次-----284
('收费',)的频次-----199
('赢得',)的频次-----206
('业主',)的频次-----40
('欢迎',)的频次-----417
('房屋',)的频次-----110
('保值',)的频次-----17
('升值',)的频次-----12
('实际上',)的频次-----166
('售后服务',)的频次-----23
('附加值',)的频次-----19
('最大',)的频次-----669
('特点',)的频次-----358
('狮',)的频次-----12
('豹',)的频次-----4
('猴',)的频次-----7
('完全',)的频次-----419
('放',)的频次-----348
('归',)的频次-----95
('自然',)的频次-----411
('生态',)的频次-----250
('环境',)的频次-----1088
('做到',)的频次-----285
('和谐',)的频次-----51
('不光',)的频次-----25
('全市',)的频次-----394
('游泳',)的频次-----75
('海滩',)的频次-----22
('老年',)的频次-----25
('少年',)的频次-----131
('游',)的频次-----114
('老头',)的频次-----18
('道',)的频次-----416
('领头',)的频次-----23
('举',)的频次-----104
('爬山',)的频次-----2
('岭',)的频次-----12
('到底',)的频次-----79
('敌人',)的频次-----49
('重重',)的频次-----25
('围剿',)的频次-----10
('旧',)的频次-----202
('人员',)的频次-----1180
('叛逃',)的频次-----2
('起义',)的频次-----100
('十分',)的频次-----668
('紧急',)的频次-----159
('严重',)的频次-----866
('时刻',)的频次-----157
('袖子',)的频次-----5
('卷',)的频次-----59
('拳头',)的频次-----9
('坚定',)的频次-----150
('官兵',)的频次-----248
('不能',)的频次-----1142
('怕',)的频次-----107
('吃苦',)的频次-----24
('流血',)的频次-----21
('放假',)的频次-----9
('回家',)的频次-----108
('段',)的频次-----172
('年迈',)的频次-----8
('母亲',)的频次-----345
('听',)的频次-----327
('噙',)的频次-----5
('浑浊',)的频次-----5
('泪珠',)的频次-----1
('听说',)的频次-----86
('娃儿',)的频次-----1
('忘',)的频次-----103
('耻辱',)的频次-----11
('周',)的频次-----98
('记',)的频次-----261
('心理',)的频次-----228
('帮助',)的频次-----664
('镇',)的频次-----235
('大多',)的频次-----103
('白丁',)的频次-----1
('借',)的频次-----145
('脑袋',)的频次-----18
('生财',)的频次-----9
('腿',)的频次-----61
('搓',)的频次-----8
('绳',)的频次-----10
('出国',)的频次-----54
('收获',)的频次-----61
('真正',)的频次-----490
('感到',)的频次-----404
('咱们',)的频次-----29
('落后',)的频次-----227
('社会主义',)的频次-----739
('提倡',)的频次-----71
('风',)的频次-----263
('雨',)的频次-----108
('八仙过海',)的频次-----4
('各',)的频次-----1476
('格言',)的频次-----8
('困',)的频次-----45
('出门',)的频次-----18
('路',)的频次-----547
('名牌',)的频次-----158
('产品',)的频次-----1133
('智慧',)的频次-----136
('结晶',)的频次-----14
('需要',)的频次-----1189
('凝结',)的频次-----13
('条',)的频次-----560
('生产线',)的频次-----57
('商量',)的频次-----44
('处理',)的频次-----603
('村民委员会',)的频次-----43
('应当',)的频次-----345
('公布',)的频次-----268
('内容',)的频次-----611
('及时',)的频次-----395
('性',)的频次-----786
('真实性',)的频次-----11
('根本上',)的频次-----85
('矛盾',)的频次-----350
('切实',)的频次-----306
('加强',)的频次-----1556
('群众',)的频次-----1440
('村委会',)的频次-----116
('民主',)的频次-----436
('监督',)的频次-----666
('修订',)的频次-----51
('草案',)的频次-----91
('相应',)的频次-----183
('补充',)的频次-----84
('明确',)的频次-----421
('规定',)的频次-----934
('实行',)的频次-----787
('村',)的频次-----820
('务',)的频次-----113
('公开',)的频次-----471
('资源',)的频次-----582
('必然',)的频次-----149
('狭隘',)的频次-----13
('凝滞',)的频次-----1
('泛泛而谈',)的频次-----2
('变为',)的频次-----57
('紧',)的频次-----77
('扣',)的频次-----69
('当今',)的频次-----152
('现实',)的频次-----405
('标',)的频次-----100
('靶',)的频次-----2
('哪里',)的频次-----110
('像',)的频次-----833
('电视机',)的频次-----29
('那样',)的频次-----204
('这时',)的频次-----104
('猕猴桃',)的频次-----12
('打断',)的频次-----5
('全身',)的频次-----23
('宝',)的频次-----46
('温度',)的频次-----51
('湿度',)的频次-----8
('空气',)的频次-----121
('流通',)的频次-----171
('穴',)的频次-----12
('不好',)的频次-----148
('原来',)的频次-----213
('地下',)的频次-----93
('然后',)的频次-----170
('地面',)的频次-----95
('陈列',)的频次-----34
('申请书',)的频次-----9
('…',)的频次-----1452
('电视',)的频次-----334
('贫困',)的频次-----364
('甚至',)的频次-----566
('上学',)的频次-----77
('自信',)的频次-----64
('宣称',)的频次-----22
('美',)的频次-----816
('多种多样',)的频次-----19
('就算',)的频次-----16
('付出',)的频次-----105
('代价',)的频次-----75
('吧',)的频次-----162
('叮嘱',)的频次-----11
('豁出',)的频次-----4
('命',)的频次-----30
('用户',)的频次-----220
('计算',)的频次-----106
('付',)的频次-----73
('费',)的频次-----417
('指责',)的频次-----103
('一言一行',)的频次-----7
('配',)的频次-----113
('明亮',)的频次-----34
('灿烂',)的频次-----53
('税',)的频次-----205
('徽',)的频次-----13
('生命',)的频次-----386
('随时随地',)的频次-----7
('注视',)的频次-----33
('老板',)的频次-----91
('答非所问',)的频次-----2
('色',)的频次-----97
('味',)的频次-----67
('连长',)的频次-----15
('耳光',)的频次-----3
('妈',)的频次-----35
('鞋子',)的频次-----15
('啥',)的频次-----43
('脱',)的频次-----46
('下来',)的频次-----300
('街道',)的频次-----106
('实事',)的频次-----106
('引导',)的频次-----239
('居民',)的频次-----390
('投身',)的频次-----52
('故事',)的频次-----260
('很多',)的频次-----336
('欣赏',)的频次-----85
('百姓',)的频次-----116
('有事',)的频次-----16
('难办',)的频次-----8
('天',)的频次-----201
('知识产权',)的频次-----135
('密切相关',)的频次-----22
('案',)的频次-----303
('法',)的频次-----768
('记者',)的频次-----2390
('庭审',)的频次-----47
('过程',)的频次-----726
('来说',)的频次-----370
('堂',)的频次-----33
('生动',)的频次-----147
('法制',)的频次-----175
('课',)的频次-----173
('只是',)的频次-----352
('直播',)的频次-----85
('正常',)的频次-----340
('办案',)的频次-----54
('可好',)的频次-----5
('自从',)的频次-----48
('市政府',)的频次-----163
('乱收费',)的频次-----53
('件',)的频次-----150
('发生',)的频次-----1069
('不快',)的频次-----10
('城市',)的频次-----982
('重',)的频次-----444
('这点儿',)的频次-----1
('辛苦',)的频次-----40
('从小',)的频次-----38
('惯',)的频次-----11
('闲',)的频次-----18
('浑身',)的频次-----18
('舒服',)的频次-----11
('凭',)的频次-----88
('总能',)的频次-----9
('找到',)的频次-----298
('而且',)的频次-----805
('满意',)的频次-----234
('等候',)的频次-----20
('求职',)的频次-----70
('一一',)的频次-----39
('打招呼',)的频次-----12
('旁边',)的频次-----28
('登记',)的频次-----186
('天地',)的频次-----100
('广',)的频次-----107
('棵',)的频次-----83
('树',)的频次-----340
('吊死',)的频次-----1
('至少',)的频次-----161
('先',)的频次-----386
('温饱',)的频次-----44
('再说',)的频次-----24
('调调',)的频次-----2
('资料',)的频次-----245
('树桩',)的频次-----4
('哪',)的频次-----115
('干柴',)的频次-----1
('突然',)的频次-----140
('发觉',)的频次-----6
('难忘',)的频次-----47
('竟是',)的频次-----20
('小时候',)的频次-----16
('钢铁',)的频次-----37
('怎样',)的频次-----170
('炼',)的频次-----15
('将来',)的频次-----98
('退伍',)的频次-----13
('还要',)的频次-----283
('坚持',)的频次-----1010
('失学',)的频次-----40
('儿童',)的频次-----553
('重返',)的频次-----48
('校园',)的频次-----110
('问',)的频次-----345
('捐款',)的频次-----101
('动机',)的频次-----31
('尽管',)的频次-----341
('微薄',)的频次-----13
('津贴',)的频次-----12
('力',)的频次-----187
('快慰',)的频次-----2
('信心',)的频次-----297
('鼓励',)的频次-----303
('康复',)的频次-----60
('乐呵呵',)的频次-----3
('赛',)的频次-----775
('龙舟',)的频次-----90
('中场',)的频次-----46
('组织',)的频次-----1619
('传',)的频次-----187
('接球',)的频次-----6
('队员',)的频次-----391
('显得',)的频次-----154
('有些',)的频次-----449
('过硬',)的频次-----38
('喜悦',)的频次-----48
('抱怨',)的频次-----35
('场',)的频次-----961
('艰难',)的频次-----131
('发表',)的频次-----669
('高见',)的频次-----2
('竞赛',)的频次-----175
('游戏',)的频次-----79
('所有',)的频次-----516
('别的',)的频次-----58
('一心',)的频次-----35
('跳',)的频次-----122
('子孙后代',)的频次-----20
('健康',)的频次-----491
('着想',)的频次-----10
('可谓',)的频次-----80
('富贵',)的频次-----4
('戒',)的频次-----30
('好奇',)的频次-----17
('士',)的频次-----18
('闻',)的频次-----52
('赏',)的频次-----14
('足',)的频次-----88
('何必',)的频次-----14
('取',)的频次-----92
('哉',)的频次-----15
('末',)的频次-----17
('一段',)的频次-----193
('议论',)的频次-----61
('颇',)的频次-----128
('发人深省',)的频次-----7
('夫',)的频次-----11
('奇',)的频次-----35
('弃',)的频次-----18
('幽',)的频次-----7
('水',)的频次-----719
('可惜',)的频次-----38
('置',)的频次-----37
('爱',)的频次-----372
('不免',)的频次-----18
('私藏',)的频次-----2
('代代相传',)的频次-----8
('其后',)的频次-----21
('荒',)的频次-----56
('湮',)的频次-----2
('零落',)的频次-----2
('至于',)的频次-----86
('子孙',)的频次-----15
('泯没',)的频次-----1
('况',)的频次-----3
('长',)的频次-----1228
('乎',)的频次-----16
('苔',)的频次-----5
('昏',)的频次-----13
('土',)的频次-----122
('蚀',)的频次-----5
('禽',)的频次-----16
('鸟',)的频次-----114
('啄',)的频次-----2
('出没',)的频次-----7
('溪水',)的频次-----7
('秋',)的频次-----42
('复',)的频次-----44
('刚刚',)的频次-----182
('走出',)的频次-----198
('失去',)的频次-----163
('兄弟',)的频次-----107
('一切',)的频次-----437
('培训',)的频次-----616
('输送',)的频次-----27
('为主',)的频次-----250
('专业队',)的频次-----1
('后备',)的频次-----33
('既',)的频次-----448
('注重',)的频次-----205
('武术',)的频次-----115
('技法',)的频次-----16
('训练',)的频次-----297
('文武双全',)的频次-----1
('新一代',)的频次-----44
('人才',)的频次-----650
('高兴',)的频次-----204
('呆',)的频次-----35
('具备',)的频次-----131
('必要条件',)的频次-----16
('学生',)的频次-----1011
('地点',)的频次-----74
('按',)的频次-----644
('研读',)的频次-----12
('研究生',)的频次-----91
